Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31
SHAHADA,2,RAJESH UDESING PADVI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,RAJENDRAKUMAR KRISHNARAO GAVIT,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,53204,27/27,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAHAPUR,135,DAULAT BHIKA DARODA,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,BARORA PANDURANG MAHADU,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,1672,24/24,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAHUWADI,277,DR. VINAY VILASRAO KORE (SAVKAR),Jan Surajya ShaktiiParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Jan Surajya Shakti,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,SATYAJIT BABASAHEB PATIL (AABA) SARUDKAR,"Shiv Sena (Uddhav Balasaheb Thackeray)
iParty Wise State TrendsLeading In:0Won In:20Trailing In:0",Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,36053,25/25,Result Declared
Jan Surajya Shakti,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHEVGAON,222,MONICA RAJEEV RAJALE,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,ADV. DHAKNE PRATAPRAO BABANRAO,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,19043,28/28,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRALA,284,DESHMUKH SATYAJIT SHIVAJIRAO,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,MANSINGBHAU FATTESINGRAO NAIK,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,22689,17/17,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRDI,218,PATIL VIKHE RADHAKRUSHNA EKNATHRAO,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,PRABHAVATI JANARDAN GHOGARE,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,70282,20/20,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIROL,280,RAJENDRA SHAMGONDA PATIL (YADRAVKAR),Rajarshi Shahu Vikas AghadiiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Rajarshi Shahu Vikas Aghadi,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,GANPATRAO APPASAHEB PATIL,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,40816,22/22,Result Declared
Rajarshi Shahu Vikas Aghadi,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRPUR,9,KASHIRAM VECHAN PAWARA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,DR.JITENDRA YUVRAJ THAKUR,"Independent
iParty Wise State TrendsLeading In:0Won In:2Trailing In:0",Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,145944,24/24,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRUR,198,DNYANESHWAR ALIAS MAULI ABA KATKE,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,ASHOK RAOSAHEB PAWAR,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,74550,20/20,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIVADI,183,AJAY VINAYAK CHOUDHARI,Shiv Sena (Uddhav Balasaheb Thackeray)iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,BALA DAGDU NANDGAONKAR,"Maharashtra Navnirman sena
iParty Wise State TrendsLeading In:0Won In:0Trailing In:0",Maharashtra Navnirman sena,iParty Wise State TrendsLeading In:0Won In:0Trailing In:0,Leading In,:,0,Won In,:,0,Trailing In,:,0,7140,19/19,Result Declared
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra Navnirman sena,iParty Wise State TrendsLeading In:0Won In:0Trailing In:0,Leading In,:,0,Won In,:,0,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIVAJINAGAR,209,SIDDHARTH ANIL SHIROLE,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,DATTA BAHIRAT,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,36702,20/20,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIGONDA,226,PACHPUTE VIKRAM BABANRAO,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,JAGTAP RAHUL KUNDLIKRAO,"Independent
iParty Wise State TrendsLeading In:0Won In:2Trailing In:0",Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,37156,25/25,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIRAMPUR,220,OGALE HEMANT BHUJANGRAO,Indian National CongressiParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,BHAUSAHEB MALHARI KAMBLE,"Shiv Sena
iParty Wise State TrendsLeading In:0Won In:57Trailing In:0",Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,13373,24/24,Result Declared
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHRIVARDHAN,193,ADITI SUNIL TATKARE,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,ANIL DATTARAM NAVGANE,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,82798,26/26,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILLOD,104,ABDUL SATTAR,Shiv SenaiParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,BANKAR SURESH PANDURANG,"Shiv Sena (Uddhav Balasaheb Thackeray)
iParty Wise State TrendsLeading In:0Won In:20Trailing In:0",Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,2420,29/29,Result Declared
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
